year,month,origin,destination,avg_delay
2016,1,PNQ,HYD,32.11
2016,1,HYD,CCU,30.86
2016,1,CCU,AMD,34.73
2016,1,AMD,MAA,32.22
2016,2,MAA,BOM,34.36
2016,2,BOM,DEL,30.78
2016,2,DEL,BLR,34.15
2016,2,PNQ,HYD,29.3
2016,2,HYD,CCU,27.76
2016,2,CCU,AMD,32.13
2016,2,AMD,MAA,34.75
2016,3,MAA,BOM,33.41
2016,3,BOM,DEL,37.44
2016,3,DEL,BLR,34.78
2016,3,PNQ,HYD,32.14
2016,3,HYD,CCU,35.0
2016,3,CCU,AMD,35.39
2016,3,AMD,MAA,30.71
2016,4,MAA,BOM,34.11
2016,4,BOM,DEL,33.94
2016,4,DEL,BLR,37.91
2016,4,PNQ,HYD,33.46
2016,4,HYD,CCU,32.44
2016,4,CCU,AMD,35.05
2016,4,AMD,MAA,36.91
2016,5,MAA,BOM,26.16
2016,5,BOM,DEL,30.7
2016,5,DEL,BLR,28.97
2016,5,PNQ,HYD,28.48
2016,5,HYD,CCU,26.46
2016,5,CCU,AMD,28.87
2016,5,AMD,MAA,26.31
2016,6,MAA,BOM,29.78
2016,6,BOM,DEL,27.76
2016,6,DEL,BLR,26.74
2016,6,PNQ,HYD,34.63
2016,6,HYD,CCU,26.68
2016,6,CCU,AMD,27.91
2016,6,AMD,MAA,28.5
2016,7,MAA,BOM,27.53
2016,7,BOM,DEL,30.6
2016,7,DEL,BLR,34.2
2016,7,PNQ,HYD,30.22
2016,7,HYD,CCU,34.35
2016,7,CCU,AMD,27.28
2016,7,AMD,MAA,35.63
2016,8,MAA,BOM,29.68
2016,8,BOM,DEL,35.84
2016,8,DEL,BLR,30.15
2016,8,PNQ,HYD,32.48
2016,8,HYD,CCU,31.12
2016,8,CCU,AMD,37.23
2016,8,AMD,MAA,29.35
2016,9,MAA,BOM,34.92
2016,9,BOM,DEL,35.79
2016,9,DEL,BLR,31.86
2016,9,PNQ,HYD,37.55
2016,9,HYD,CCU,37.82
2016,9,CCU,AMD,37.83
2016,9,AMD,MAA,30.64
2016,10,MAA,BOM,32.63
2016,10,BOM,DEL,32.71
2016,10,DEL,BLR,33.03
2016,10,PNQ,HYD,28.44
2016,10,HYD,CCU,27.61
2016,10,CCU,AMD,30.64
2016,10,AMD,MAA,32.93
2016,11,MAA,BOM,30.79
2016,11,BOM,DEL,29.47
2016,11,DEL,BLR,28.54
2016,11,PNQ,HYD,31.83
2016,11,HYD,CCU,27.31
2016,11,CCU,AMD,34.41
2016,11,AMD,MAA,32.87
2016,12,MAA,BOM,36.93
2016,12,BOM,DEL,28.81
2016,12,DEL,BLR,36.59
2016,12,PNQ,HYD,31.67
2016,12,HYD,CCU,27.59
2016,12,CCU,AMD,27.25
2016,12,AMD,MAA,31.22
2017,1,MAA,BOM,27.09
2017,1,BOM,DEL,34.04
2017,1,DEL,BLR,27.72
2017,1,PNQ,HYD,29.97
2017,1,HYD,CCU,27.4
2017,1,CCU,AMD,32.95
2017,1,AMD,MAA,30.59
2017,2,MAA,BOM,35.42
2017,2,BOM,DEL,32.68
2017,2,DEL,BLR,35.0
2017,2,PNQ,HYD,34.82
2017,2,HYD,CCU,29.01
2017,2,CCU,AMD,34.33
2017,2,AMD,MAA,35.8
2017,3,MAA,BOM,33.77
2017,3,BOM,DEL,29.36
2017,3,DEL,BLR,28.59
2017,3,PNQ,HYD,29.71
2017,3,HYD,CCU,28.97
2017,3,CCU,AMD,36.73
2017,3,AMD,MAA,30.52
2017,4,MAA,BOM,34.59
2017,4,BOM,DEL,29.24
2017,4,DEL,BLR,29.03
2017,4,PNQ,HYD,35.83
2017,4,HYD,CCU,36.16
2017,4,CCU,AMD,35.23
2017,4,AMD,MAA,34.55
2017,5,MAA,BOM,29.23
2017,5,BOM,DEL,25.48
2017,5,DEL,BLR,30.98
2017,5,PNQ,HYD,25.51
2017,5,HYD,CCU,34.49
2017,5,CCU,AMD,25.41
2017,5,AMD,MAA,31.06
2017,6,MAA,BOM,35.14
2017,6,BOM,DEL,30.68
2017,6,DEL,BLR,35.1
2017,6,PNQ,HYD,28.34
2017,6,HYD,CCU,28.87
2017,6,CCU,AMD,31.68
2017,6,AMD,MAA,29.78
2017,7,MAA,BOM,32.82
2017,7,BOM,DEL,30.59
2017,7,DEL,BLR,35.7
2017,7,PNQ,HYD,34.16
2017,7,HYD,CCU,32.68
2017,7,CCU,AMD,27.6
2017,7,AMD,MAA,30.13
2017,8,MAA,BOM,31.15
2017,8,BOM,DEL,28.56
2017,8,DEL,BLR,28.26
2017,8,PNQ,HYD,32.59
2017,8,HYD,CCU,31.28
2017,8,CCU,AMD,30.87
2017,8,AMD,MAA,31.03
2017,9,MAA,BOM,35.43
2017,9,BOM,DEL,35.22
2017,9,DEL,BLR,33.12
2017,9,PNQ,HYD,35.48
2017,9,HYD,CCU,29.05
2017,9,CCU,AMD,36.88
2017,9,AMD,MAA,38.65
2017,10,MAA,BOM,28.48
2017,10,BOM,DEL,34.91
2017,10,DEL,BLR,28.4
2017,10,PNQ,HYD,32.25
2017,10,HYD,CCU,31.85
2017,10,CCU,AMD,32.84
2017,10,AMD,MAA,33.06
2017,11,MAA,BOM,26.68
2017,11,BOM,DEL,32.48
2017,11,DEL,BLR,27.77
2017,11,PNQ,HYD,33.57
2017,11,HYD,CCU,27.08
2017,11,CCU,AMD,27.24
2017,11,AMD,MAA,34.29
2017,12,MAA,BOM,28.12
2017,12,BOM,DEL,36.01
2017,12,DEL,BLR,34.06
2017,12,PNQ,HYD,27.02
2017,12,HYD,CCU,28.38
2017,12,CCU,AMD,36.75
2017,12,AMD,MAA,35.09
2018,1,MAA,BOM,26.07
2018,1,BOM,DEL,33.24
2018,1,DEL,BLR,30.46
2018,1,PNQ,HYD,31.28
2018,1,HYD,CCU,29.36
2018,1,CCU,AMD,29.2
2018,1,AMD,MAA,29.31
2018,2,MAA,BOM,31.93
2018,2,BOM,DEL,28.45
2018,2,DEL,BLR,27.79
2018,2,PNQ,HYD,33.18
2018,2,HYD,CCU,28.39
2018,2,CCU,AMD,29.67
2018,2,AMD,MAA,36.65
2018,3,MAA,BOM,29.69
2018,3,BOM,DEL,35.95
2018,3,DEL,BLR,37.54
2018,3,PNQ,HYD,33.36
2018,3,HYD,CCU,37.52
2018,3,CCU,AMD,32.91
2018,3,AMD,MAA,32.96
2018,4,MAA,BOM,29.53
2018,4,BOM,DEL,37.28
2018,4,DEL,BLR,33.19
2018,4,PNQ,HYD,30.49
2018,4,HYD,CCU,34.65
2018,4,CCU,AMD,35.22
2018,4,AMD,MAA,38.12
2018,5,MAA,BOM,25.24
2018,5,BOM,DEL,29.31
2018,5,DEL,BLR,27.84
2018,5,PNQ,HYD,30.24
2018,5,HYD,CCU,32.91
2018,5,CCU,AMD,27.37
2018,5,AMD,MAA,26.27
2018,6,MAA,BOM,26.01
2018,6,BOM,DEL,32.35
2018,6,DEL,BLR,28.54
2018,6,PNQ,HYD,30.47
2018,6,HYD,CCU,27.77
2018,6,CCU,AMD,29.04
2018,6,AMD,MAA,35.84
2018,7,MAA,BOM,36.01
2018,7,BOM,DEL,27.59
2018,7,DEL,BLR,31.38
2018,7,PNQ,HYD,29.23
2018,7,HYD,CCU,33.74
2018,7,CCU,AMD,35.71
2018,7,AMD,MAA,36.64
2018,8,MAA,BOM,34.22
2018,8,BOM,DEL,34.38
2018,8,DEL,BLR,37.14
2018,8,PNQ,HYD,37.66
2018,8,HYD,CCU,29.62
2018,8,CCU,AMD,36.93
2018,8,AMD,MAA,28.76
2018,9,MAA,BOM,34.5
2018,9,BOM,DEL,38.69
2018,9,DEL,BLR,36.24
2018,9,PNQ,HYD,31.15
2018,9,HYD,CCU,33.12
2018,9,CCU,AMD,35.07
2018,9,AMD,MAA,36.49
2018,10,MAA,BOM,28.94
2018,10,BOM,DEL,29.73
2018,10,DEL,BLR,29.15
2018,10,PNQ,HYD,33.03
2018,10,HYD,CCU,25.01
2018,10,CCU,AMD,29.08
2018,10,AMD,MAA,34.25
2018,11,MAA,BOM,32.77
2018,11,BOM,DEL,35.85
2018,11,DEL,BLR,35.1
2018,11,PNQ,HYD,35.53
2018,11,HYD,CCU,34.7
2018,11,CCU,AMD,29.23
2018,11,AMD,MAA,30.75
2018,12,MAA,BOM,27.12
2018,12,BOM,DEL,27.24
2018,12,DEL,BLR,27.19
2018,12,PNQ,HYD,36.35
2018,12,HYD,CCU,27.86
2018,12,CCU,AMD,28.41
2018,12,AMD,MAA,31.69
2019,1,MAA,BOM,32.76
2019,1,BOM,DEL,34.27
2019,1,DEL,BLR,33.35
2019,1,PNQ,HYD,26.19
2019,1,HYD,CCU,27.47
2019,1,CCU,AMD,35.55
2019,1,AMD,MAA,28.39
2019,2,MAA,BOM,34.36
2019,2,BOM,DEL,33.34
2019,2,DEL,BLR,27.72
2019,2,PNQ,HYD,30.15
2019,2,HYD,CCU,32.75
2019,2,CCU,AMD,33.02
2019,2,AMD,MAA,34.69
2019,3,MAA,BOM,32.61
2019,3,BOM,DEL,29.91
2019,3,DEL,BLR,28.44
2019,3,PNQ,HYD,33.97
2019,3,HYD,CCU,36.76
2019,3,CCU,AMD,34.73
2019,3,AMD,MAA,35.14
2019,4,MAA,BOM,35.21
2019,4,BOM,DEL,34.94
2019,4,DEL,BLR,29.41
2019,4,PNQ,HYD,32.93
2019,4,HYD,CCU,30.49
2019,4,CCU,AMD,34.88
2019,4,AMD,MAA,38.2
2019,5,MAA,BOM,25.5
2019,5,BOM,DEL,30.5
2019,5,DEL,BLR,33.74
2019,5,PNQ,HYD,32.34
2019,5,HYD,CCU,32.79
2019,5,CCU,AMD,26.16
2019,5,AMD,MAA,32.55
2019,6,MAA,BOM,29.11
2019,6,BOM,DEL,28.39
2019,6,DEL,BLR,26.3
2019,6,PNQ,HYD,31.71
2019,6,HYD,CCU,28.09
2019,6,CCU,AMD,28.19
2019,6,AMD,MAA,34.83
2019,7,MAA,BOM,32.33
2019,7,BOM,DEL,34.44
2019,7,DEL,BLR,28.73
2019,7,PNQ,HYD,32.54
2019,7,HYD,CCU,33.26
2019,7,CCU,AMD,35.28
2019,7,AMD,MAA,34.93
2019,8,MAA,BOM,33.73
2019,8,BOM,DEL,34.34
2019,8,DEL,BLR,36.23
2019,8,PNQ,HYD,37.4
2019,8,HYD,CCU,29.11
2019,8,CCU,AMD,33.35
2019,8,AMD,MAA,35.55
2019,9,MAA,BOM,29.09
2019,9,BOM,DEL,32.04
2019,9,DEL,BLR,29.93
2019,9,PNQ,HYD,33.11
2019,9,HYD,CCU,33.87
2019,9,CCU,AMD,38.16
2019,9,AMD,MAA,30.93
2019,10,MAA,BOM,25.32
2019,10,BOM,DEL,26.58
2019,10,DEL,BLR,31.58
2019,10,PNQ,HYD,32.17
2019,10,HYD,CCU,25.47
2019,10,CCU,AMD,28.67
2019,10,AMD,MAA,31.72
2019,11,MAA,BOM,32.52
2019,11,BOM,DEL,28.83
2019,11,DEL,BLR,33.48
2019,11,PNQ,HYD,27.23
2019,11,HYD,CCU,35.3
2019,11,CCU,AMD,27.28
2019,11,AMD,MAA,31.87
2019,12,MAA,BOM,34.22
2019,12,BOM,DEL,31.4
2019,12,DEL,BLR,31.86
2019,12,PNQ,HYD,28.25
2019,12,HYD,CCU,36.36
2019,12,CCU,AMD,35.73
2019,12,AMD,MAA,29.7
2020,1,MAA,BOM,27.46
2020,1,BOM,DEL,29.94
2020,1,DEL,BLR,30.97
2020,1,PNQ,HYD,28.2
2020,1,HYD,CCU,27.83
2020,1,CCU,AMD,29.37
2020,1,AMD,MAA,35.26
2020,2,MAA,BOM,30.45
2020,2,BOM,DEL,30.13
2020,2,DEL,BLR,33.64
2020,2,PNQ,HYD,29.19
2020,2,HYD,CCU,29.92
2020,2,CCU,AMD,32.72
2020,2,AMD,MAA,30.73
2020,3,MAA,BOM,33.03
2020,3,BOM,DEL,36.27
2020,3,DEL,BLR,28.36
2020,3,PNQ,HYD,35.5
2020,3,HYD,CCU,32.23
2020,3,CCU,AMD,32.66
2020,3,AMD,MAA,31.6
2020,4,MAA,BOM,34.55
2020,4,BOM,DEL,29.75
2020,4,DEL,BLR,33.38
2020,4,PNQ,HYD,32.1
2020,4,HYD,CCU,29.04
2020,4,CCU,AMD,30.24
2020,4,AMD,MAA,35.47
2020,5,MAA,BOM,28.97
2020,5,BOM,DEL,29.54
2020,5,DEL,BLR,34.36
2020,5,PNQ,HYD,34.5
2020,5,HYD,CCU,28.07
2020,5,CCU,AMD,31.57
2020,5,AMD,MAA,26.91
2020,6,MAA,BOM,26.54
2020,6,BOM,DEL,33.17
2020,6,DEL,BLR,35.63
2020,6,PNQ,HYD,26.34
2020,6,HYD,CCU,30.44
2020,6,CCU,AMD,28.76
2020,6,AMD,MAA,32.7
2020,7,MAA,BOM,28.97
2020,7,BOM,DEL,32.64
2020,7,DEL,BLR,33.24
2020,7,PNQ,HYD,29.91
2020,7,HYD,CCU,27.16
2020,7,CCU,AMD,29.26
2020,7,AMD,MAA,36.01
2020,8,MAA,BOM,34.3
2020,8,BOM,DEL,33.23
2020,8,DEL,BLR,33.67
2020,8,PNQ,HYD,28.46
2020,8,HYD,CCU,36.2
2020,8,CCU,AMD,29.42
2020,8,AMD,MAA,31.92
2020,9,MAA,BOM,38.73
2020,9,BOM,DEL,34.92
2020,9,DEL,BLR,33.85
2020,9,PNQ,HYD,36.32
2020,9,HYD,CCU,36.5
2020,9,CCU,AMD,38.41
2020,9,AMD,MAA,32.55
2020,10,MAA,BOM,25.24
2020,10,BOM,DEL,32.93
2020,10,DEL,BLR,34.33
2020,10,PNQ,HYD,26.14
2020,10,HYD,CCU,29.35
2020,10,CCU,AMD,33.98
2020,10,AMD,MAA,33.18
2020,11,MAA,BOM,33.25
2020,11,BOM,DEL,34.52
2020,11,DEL,BLR,34.29
2020,11,PNQ,HYD,26.8
2020,11,HYD,CCU,32.94
2020,11,CCU,AMD,35.04
2020,11,AMD,MAA,35.07
2020,12,MAA,BOM,32.45
2020,12,BOM,DEL,27.79
2020,12,DEL,BLR,27.4
2020,12,PNQ,HYD,29.79
2020,12,HYD,CCU,30.3
2020,12,CCU,AMD,33.01
2020,12,AMD,MAA,29.0
2021,1,MAA,BOM,28.35
2021,1,BOM,DEL,34.53
2021,1,DEL,BLR,28.41
2021,1,PNQ,HYD,35.89
2021,1,HYD,CCU,26.02
2021,1,CCU,AMD,34.04
2021,1,AMD,MAA,32.46
2021,2,MAA,BOM,35.82
2021,2,BOM,DEL,29.91
2021,2,DEL,BLR,34.65
2021,2,PNQ,HYD,30.65
2021,2,HYD,CCU,27.48
2021,2,CCU,AMD,34.93
2021,2,AMD,MAA,31.62
2021,3,MAA,BOM,29.73
2021,3,BOM,DEL,35.8
2021,3,DEL,BLR,28.14
2021,3,PNQ,HYD,30.64
2021,3,HYD,CCU,28.25
2021,3,CCU,AMD,36.02
2021,3,AMD,MAA,34.19
2021,4,MAA,BOM,37.41
2021,4,BOM,DEL,38.26
2021,4,DEL,BLR,34.92
2021,4,PNQ,HYD,31.78
2021,4,HYD,CCU,33.07
2021,4,CCU,AMD,29.95
2021,4,AMD,MAA,36.97
2021,5,MAA,BOM,26.75
2021,5,BOM,DEL,26.11
2021,5,DEL,BLR,32.48
2021,5,PNQ,HYD,28.97
2021,5,HYD,CCU,28.96
2021,5,CCU,AMD,31.61
2021,5,AMD,MAA,31.43
2021,6,MAA,BOM,30.08
2021,6,BOM,DEL,30.32
2021,6,DEL,BLR,28.98
2021,6,PNQ,HYD,32.78
2021,6,HYD,CCU,30.1
2021,6,CCU,AMD,30.36
2021,6,AMD,MAA,33.91
2021,7,MAA,BOM,34.85
2021,7,BOM,DEL,29.52
2021,7,DEL,BLR,27.78
2021,7,PNQ,HYD,27.4
2021,7,HYD,CCU,29.89
2021,7,CCU,AMD,34.84
2021,7,AMD,MAA,33.05
2021,8,MAA,BOM,32.91
2021,8,BOM,DEL,31.47
2021,8,DEL,BLR,34.87
2021,8,PNQ,HYD,32.01
2021,8,HYD,CCU,36.05
2021,8,CCU,AMD,28.13
2021,8,AMD,MAA,30.27
2021,9,MAA,BOM,34.2
2021,9,BOM,DEL,36.56
2021,9,DEL,BLR,37.59
2021,9,PNQ,HYD,30.71
2021,9,HYD,CCU,38.68
2021,9,CCU,AMD,36.43
2021,9,AMD,MAA,30.22
2021,10,MAA,BOM,28.34
2021,10,BOM,DEL,30.36
2021,10,DEL,BLR,31.19
2021,10,PNQ,HYD,28.65
2021,10,HYD,CCU,26.38
2021,10,CCU,AMD,25.94
2021,10,AMD,MAA,33.63
2021,11,MAA,BOM,27.47
2021,11,BOM,DEL,30.9
2021,11,DEL,BLR,26.73
2021,11,PNQ,HYD,35.38
2021,11,HYD,CCU,28.55
2021,11,CCU,AMD,33.89
2021,11,AMD,MAA,28.79
2021,12,MAA,BOM,36.61
2021,12,BOM,DEL,34.41
2021,12,DEL,BLR,30.84
2021,12,PNQ,HYD,35.48
2021,12,HYD,CCU,32.46
2021,12,CCU,AMD,32.96
2021,12,AMD,MAA,29.81
2022,1,MAA,BOM,32.31
2022,1,BOM,DEL,34.38
2022,1,DEL,BLR,34.96
2022,1,PNQ,HYD,26.71
2022,1,HYD,CCU,31.4
2022,1,CCU,AMD,32.75
2022,1,AMD,MAA,33.02
2022,2,MAA,BOM,28.08
2022,2,BOM,DEL,35.35
2022,2,DEL,BLR,30.32
2022,2,PNQ,HYD,33.58
2022,2,HYD,CCU,30.89
2022,2,CCU,AMD,34.3
2022,2,AMD,MAA,30.49
2022,3,MAA,BOM,34.16
2022,3,BOM,DEL,36.68
2022,3,DEL,BLR,29.08
2022,3,PNQ,HYD,34.84
2022,3,HYD,CCU,30.6
2022,3,CCU,AMD,30.41
2022,3,AMD,MAA,32.71
2022,4,MAA,BOM,32.03
2022,4,BOM,DEL,33.92
2022,4,DEL,BLR,29.37
2022,4,PNQ,HYD,32.95
2022,4,HYD,CCU,37.43
2022,4,CCU,AMD,31.82
2022,4,AMD,MAA,37.3
2022,5,MAA,BOM,29.74
2022,5,BOM,DEL,31.98
2022,5,DEL,BLR,30.93
2022,5,PNQ,HYD,29.23
2022,5,HYD,CCU,25.56
2022,5,CCU,AMD,26.71
2022,5,AMD,MAA,28.27
2022,6,MAA,BOM,35.43
2022,6,BOM,DEL,31.21
2022,6,DEL,BLR,33.52
2022,6,PNQ,HYD,29.33
2022,6,HYD,CCU,27.74
2022,6,CCU,AMD,31.87
2022,6,AMD,MAA,33.44
2022,7,MAA,BOM,27.87
2022,7,BOM,DEL,34.28
2022,7,DEL,BLR,34.92
2022,7,PNQ,HYD,35.13
2022,7,HYD,CCU,28.78
2022,7,CCU,AMD,34.76
2022,7,AMD,MAA,30.75
2022,8,MAA,BOM,30.87
2022,8,BOM,DEL,30.21
2022,8,DEL,BLR,32.77
2022,8,PNQ,HYD,28.82
2022,8,HYD,CCU,29.49
2022,8,CCU,AMD,35.14
2022,8,AMD,MAA,32.26
2022,9,MAA,BOM,30.86
2022,9,BOM,DEL,32.98
2022,9,DEL,BLR,37.88
2022,9,PNQ,HYD,37.28
2022,9,HYD,CCU,32.38
2022,9,CCU,AMD,36.92
2022,9,AMD,MAA,37.24
2022,10,MAA,BOM,26.46
2022,10,BOM,DEL,26.9
2022,10,DEL,BLR,31.87
2022,10,PNQ,HYD,33.25
2022,10,HYD,CCU,26.23
2022,10,CCU,AMD,25.34
2022,10,AMD,MAA,26.58
2022,11,MAA,BOM,33.54
2022,11,BOM,DEL,34.73
2022,11,DEL,BLR,33.48
2022,11,PNQ,HYD,33.64
2022,11,HYD,CCU,34.01
2022,11,CCU,AMD,32.02
2022,11,AMD,MAA,35.76
2022,12,MAA,BOM,34.28
2022,12,BOM,DEL,30.27
2022,12,DEL,BLR,32.32
2022,12,PNQ,HYD,35.88
2022,12,HYD,CCU,28.28
2022,12,CCU,AMD,32.27
2022,12,AMD,MAA,28.2
2023,1,MAA,BOM,26.48
2023,1,BOM,DEL,29.68
2023,1,DEL,BLR,30.97
2023,1,PNQ,HYD,28.22
2023,1,HYD,CCU,26.15
2023,1,CCU,AMD,31.99
2023,1,AMD,MAA,34.73
2023,2,MAA,BOM,34.25
2023,2,BOM,DEL,36.27
2023,2,DEL,BLR,28.1
2023,2,PNQ,HYD,27.69
2023,2,HYD,CCU,29.99
2023,2,CCU,AMD,35.06
2023,2,AMD,MAA,32.35
2023,3,MAA,BOM,32.1
2023,3,BOM,DEL,31.51
2023,3,DEL,BLR,36.25
2023,3,PNQ,HYD,32.41
2023,3,HYD,CCU,32.04
2023,3,CCU,AMD,31.25
2023,3,AMD,MAA,33.9
2023,4,MAA,BOM,38.4
2023,4,BOM,DEL,31.48
2023,4,DEL,BLR,34.04
2023,4,PNQ,HYD,29.61
2023,4,HYD,CCU,32.73
2023,4,CCU,AMD,38.13
2023,4,AMD,MAA,36.98
2023,5,MAA,BOM,33.42
2023,5,BOM,DEL,34.57
2023,5,DEL,BLR,28.34
2023,5,PNQ,HYD,31.33
2023,5,HYD,CCU,33.24
2023,5,CCU,AMD,28.68
2023,5,AMD,MAA,31.97
2023,6,MAA,BOM,35.14
2023,6,BOM,DEL,27.86
2023,6,DEL,BLR,30.58
2023,6,PNQ,HYD,33.54
2023,6,HYD,CCU,28.5
2023,6,CCU,AMD,30.24
2023,6,AMD,MAA,30.83
2023,7,MAA,BOM,35.21
2023,7,BOM,DEL,27.59
2023,7,DEL,BLR,33.73
2023,7,PNQ,HYD,28.8
2023,7,HYD,CCU,31.32
2023,7,CCU,AMD,33.6
2023,7,AMD,MAA,27.36
2023,8,MAA,BOM,31.85
2023,8,BOM,DEL,34.74
2023,8,DEL,BLR,31.84
2023,8,PNQ,HYD,31.36
2023,8,HYD,CCU,36.56
2023,8,CCU,AMD,31.2
2023,8,AMD,MAA,28.63
2023,9,MAA,BOM,30.59
2023,9,BOM,DEL,34.7
2023,9,DEL,BLR,35.75
2023,9,PNQ,HYD,36.84
2023,9,HYD,CCU,38.8
2023,9,CCU,AMD,36.29
2023,9,AMD,MAA,30.39
2023,10,MAA,BOM,26.14
2023,10,BOM,DEL,28.76
2023,10,DEL,BLR,32.32
2023,10,PNQ,HYD,32.57
2023,10,HYD,CCU,26.38
2023,10,CCU,AMD,33.91
2023,10,AMD,MAA,25.98
2023,11,MAA,BOM,34.06
2023,11,BOM,DEL,33.68
2023,11,DEL,BLR,27.29
2023,11,PNQ,HYD,33.27
2023,11,HYD,CCU,29.27
2023,11,CCU,AMD,30.71
2023,11,AMD,MAA,34.13
2023,12,MAA,BOM,32.9
2023,12,BOM,DEL,31.66
2023,12,DEL,BLR,27.01
2023,12,PNQ,HYD,29.84
2023,12,HYD,CCU,35.29
2023,12,CCU,AMD,30.97
2023,12,AMD,MAA,28.17
2024,1,MAA,BOM,28.02
2024,1,BOM,DEL,28.88
2024,1,DEL,BLR,26.2
2024,1,PNQ,HYD,35.56
2024,1,HYD,CCU,28.56
2024,1,CCU,AMD,27.27
2024,1,AMD,MAA,29.9
2024,2,MAA,BOM,29.41
2024,2,BOM,DEL,35.16
2024,2,DEL,BLR,27.91
2024,2,PNQ,HYD,29.11
2024,2,HYD,CCU,31.57
2024,2,CCU,AMD,36.45
2024,2,AMD,MAA,32.6
2024,3,MAA,BOM,37.02
2024,3,BOM,DEL,31.83
2024,3,DEL,BLR,29.0
2024,3,PNQ,HYD,35.15
2024,3,HYD,CCU,29.66
2024,3,CCU,AMD,29.0
2024,3,AMD,MAA,32.23
2024,4,MAA,BOM,36.19
2024,4,BOM,DEL,35.41
2024,4,DEL,BLR,34.15
2024,4,PNQ,HYD,38.79
2024,4,HYD,CCU,38.88
2024,4,CCU,AMD,33.81
2024,4,AMD,MAA,33.39
2024,5,MAA,BOM,28.91
2024,5,BOM,DEL,33.98
2024,5,DEL,BLR,29.15
2024,5,PNQ,HYD,29.47
2024,5,HYD,CCU,32.97
2024,5,CCU,AMD,26.52
2024,5,AMD,MAA,28.54
2024,6,MAA,BOM,34.18
2024,6,BOM,DEL,33.98
2024,6,DEL,BLR,30.31
2024,6,PNQ,HYD,30.33
2024,6,HYD,CCU,30.2
2024,6,CCU,AMD,31.96
2024,6,AMD,MAA,32.99
2024,7,MAA,BOM,30.26
2024,7,BOM,DEL,32.77
2024,7,DEL,BLR,30.12
2024,7,PNQ,HYD,30.99
2024,7,HYD,CCU,29.79
2024,7,CCU,AMD,30.29
2024,7,AMD,MAA,28.65
2024,8,MAA,BOM,29.35
2024,8,BOM,DEL,33.48
2024,8,DEL,BLR,32.84
2024,8,PNQ,HYD,33.37
2024,8,HYD,CCU,35.35
2024,8,CCU,AMD,32.84
2024,8,AMD,MAA,36.98
2024,9,MAA,BOM,30.55
2024,9,BOM,DEL,38.24
